,BQ_score,BQ_score_percentile,V_score,V_score_percentile,BQ_RoC_score_percentile,BQ_growth_score_percentile,BQ_profitability_score_percentile,BQ_asset_intensity_score_percentile,BQ_capital_structure_score_percentile,BQ_reinvestment_score_percentile,BQ_shareholder_score_percentile
XP,213.3,0.837,156.646,0.667,0.902,0.898,0.433,0.587,0.026,0.438,0.967
BVVBY,175.4,0.743,118.325,0.616,0.809,0.599,0.761,0.748,0.198,0.438,0.869
BOLSY,215.7,0.841,540.193,0.994,0.914,0.291,0.978,0.25,0.341,0.438,0.973
NLY-PF,-24.4,0.231,28.055,0.483,0.192,0.258,0.922,0.613,0.026,0.438,0.01
KEY-PI,-63.2,0.164,256.782,0.802,0.543,0.196,0.175,0.464,0.026,0.438,0.205
WES,106.3,0.546,,,0.287,0.332,0.943,0.68,0.269,0.438,0.283
DOC,51.2,0.403,7.25,0.455,0.501,0.42,0.534,0.626,0.334,0.438,0.162
NHYDY,99.6,0.527,84.925,0.566,0.348,0.514,0.301,0.611,0.661,0.438,0.961
LKQ,190.9,0.783,309.34,0.866,0.837,0.677,0.581,0.62,0.364,0.438,0.912
BAP,171.2,0.731,236.194,0.775,0.843,0.774,0.698,0.244,0.126,0.438,0.923
MORN,173.0,0.736,-130.48,0.257,0.788,0.691,0.838,0.434,0.278,0.438,0.321
UDR,144.4,0.657,58.666,0.528,0.784,0.576,0.95,0.318,0.388,0.438,0.184
CXMSF,36.3,0.366,101.899,0.592,0.287,0.511,0.241,0.491,0.269,0.438,0.638
BBSEY,385.2,0.991,225.612,0.761,0.994,0.891,0.922,0.835,0.529,0.438,0.932
RYAN,136.0,0.633,-47.715,0.381,0.722,0.97,0.407,0.548,0.126,0.438,0.158
RF-PB,111.7,0.561,389.325,0.938,0.744,0.577,0.504,0.214,0.126,0.438,0.957
NNGRY,-54.5,0.177,257.597,0.803,0.413,0.043,0.311,0.778,0.026,0.438,0.638
EXAS,125.1,0.6,-277.347,0.024,0.327,0.869,0.511,0.209,0.481,0.852,0.244
AMCR,158.1,0.696,242.912,0.785,0.972,0.348,0.743,0.707,0.08,0.044,0.923
IP,-15.2,0.249,104.688,0.596,0.418,0.242,0.305,0.579,0.258,0.438,0.201
WMS,226.5,0.862,97.432,0.586,0.992,0.64,0.957,0.476,0.282,0.438,0.152
HTHT,-122.6,0.093,32.874,0.49,0.028,0.319,0.146,0.175,0.026,0.438,0.306
RVTY,157.1,0.693,36.666,0.495,0.67,0.469,0.472,0.087,0.882,0.981,0.995
USFD,129.1,0.611,201.753,0.728,0.737,0.7,0.622,0.937,0.373,0.438,0.134
ACM,13.9,0.311,43.341,0.505,0.298,0.183,0.509,0.892,0.068,0.438,0.239
RF-PC,111.7,0.561,392.6,0.94,0.744,0.577,0.504,0.214,0.126,0.438,0.957
AOS,347.4,0.98,82.913,0.563,0.988,0.553,0.938,0.807,0.88,0.438,0.996
CX,29.9,0.35,97.445,0.586,0.287,0.402,0.241,0.638,0.269,0.438,0.638
CPB,206.6,0.822,246.649,0.79,0.963,0.699,0.814,0.626,0.245,0.044,0.862
BZLFY,184.5,0.767,241.435,0.783,0.733,0.773,0.633,0.785,0.279,0.438,0.385
PODD,297.2,0.951,-183.969,0.148,0.927,0.97,0.898,0.122,0.196,0.934,0.318
GELYY,138.7,0.641,454.807,0.972,0.492,0.68,0.477,0.711,0.489,0.438,0.336
APA,239.6,0.885,440.848,0.966,0.882,0.511,0.932,0.77,0.026,0.438,1.0
TOL,233.2,0.875,326.128,0.885,0.913,0.665,0.892,0.096,0.836,0.438,0.953
EDNMY,40.3,0.375,154.537,0.664,0.063,0.337,0.936,0.295,0.226,0.438,0.356
WPLCF,344.2,0.979,-22.844,0.413,0.923,0.981,0.93,0.765,0.026,0.917,0.415
JRONY,178.5,0.751,226.686,0.763,0.855,0.603,0.608,0.827,0.187,0.438,0.638
MEDP,348.6,0.98,-80.295,0.333,0.997,0.922,0.744,0.818,0.185,0.438,0.938
PAA,95.6,0.517,,,0.287,0.376,0.613,0.964,0.269,0.438,0.226
CRL,198.2,0.802,91.96,0.577,0.798,0.882,0.734,0.221,0.555,0.438,0.303
SMTOY,172.0,0.733,630.122,0.999,0.594,0.806,0.631,0.546,0.446,0.438,0.853
UHAL-B,110.9,0.559,123.058,0.622,0.485,0.461,0.534,0.658,0.363,0.438,0.87
UHAL,170.6,0.729,108.024,0.601,0.723,0.744,0.534,0.658,0.363,0.438,0.87
MTUAY,169.2,0.726,87.338,0.57,0.65,0.782,0.755,0.4,0.299,0.828,0.39
GFL,108.9,0.554,-127.079,0.261,0.427,0.897,0.731,0.481,0.308,0.438,0.14
AKZOY,-4.2,0.27,155.612,0.666,0.316,0.222,0.304,0.347,0.244,0.85,0.638
AKZOF,-4.6,0.269,155.612,0.666,0.316,0.222,0.304,0.343,0.244,0.85,0.638
SIRI,89.9,0.502,393.581,0.941,0.099,0.207,0.856,0.74,0.226,0.893,0.984
WRK,-107.9,0.107,-93.652,0.314,0.142,0.195,0.141,0.404,0.294,0.438,0.186
PTBRY,144.9,0.659,538.944,0.994,0.794,0.636,0.746,0.433,0.126,0.438,0.638
NVT,281.8,0.937,111.43,0.606,0.889,0.853,0.936,0.243,0.566,0.843,0.941
LNT,113.3,0.566,208.524,0.737,0.688,0.51,0.915,0.432,0.186,0.438,0.2
ARCC,233.8,0.876,238.539,0.779,0.865,0.942,0.922,0.727,0.662,0.438,0.071
NCBDY,218.1,0.846,438.213,0.964,0.776,0.808,0.602,0.69,0.962,0.438,0.409
SWAV,228.4,0.866,-175.708,0.166,0.865,0.989,0.31,0.381,0.57,0.836,0.239
SDXAY,205.1,0.818,301.226,0.856,0.866,0.743,0.627,0.857,0.179,0.438,0.351
RDY,319.3,0.966,139.828,0.644,0.862,0.702,0.958,0.545,0.97,0.981,0.946
FND,227.2,0.863,,,0.809,0.927,0.522,0.671,0.499,0.438,0.32
RKUNY,-155.9,0.066,66.858,0.54,0.028,0.381,0.06,0.432,0.026,0.438,0.32
NPNYY,348.5,0.98,551.21,0.995,0.932,0.934,0.862,0.859,0.95,0.438,0.638
JKHY,301.0,0.954,-39.573,0.391,0.932,0.682,0.817,0.689,0.907,0.968,0.885
KIM,232.3,0.873,197.334,0.723,0.719,0.786,0.985,0.694,0.559,0.438,0.199
BNTGY,291.2,0.946,222.564,0.757,0.906,0.944,0.734,0.778,0.312,0.438,0.638
EQH,65.8,0.44,159.572,0.671,0.997,0.081,0.393,0.122,0.026,0.438,0.917
BURL,368.6,0.986,24.801,0.479,0.991,0.977,0.68,0.832,0.126,0.438,0.969
NI,41.3,0.378,85.449,0.567,0.588,0.554,0.887,0.332,0.097,0.438,0.011
RGA,131.5,0.619,338.162,0.896,0.773,0.648,0.458,0.34,0.026,0.438,0.996
DOCU,221.3,0.853,4.622,0.451,0.504,0.943,0.766,0.802,0.245,0.838,0.252
INCY,281.1,0.936,102.633,0.594,0.8,0.918,0.927,0.697,0.677,0.807,0.309
KNRRY,66.3,0.441,104.459,0.596,0.592,0.514,0.481,0.423,0.293,0.044,0.638
BRKR,349.8,0.981,8.182,0.456,0.987,0.917,0.82,0.217,0.286,1.0,0.96
CRRFY,145.7,0.661,461.957,0.975,0.649,0.586,0.579,0.825,0.066,0.438,0.939
WPC,136.0,0.633,199.92,0.726,0.634,0.688,0.988,0.199,0.486,0.438,0.138
BIP,66.4,0.441,,,0.287,0.87,0.632,0.184,0.269,0.438,0.155
AES,57.7,0.419,-101.553,0.301,0.658,0.439,0.731,0.716,0.026,0.438,0.161
FLEX,272.4,0.928,301.823,0.857,0.821,0.961,0.559,0.765,0.188,0.438,0.986
ELS,155.5,0.688,-95.331,0.311,0.927,0.503,0.944,0.36,0.09,0.438,0.192
ACI,12.6,0.309,399.301,0.944,0.97,0.163,0.546,0.909,0.126,0.438,0.0
JNPR,79.3,0.474,54.528,0.521,0.492,0.485,0.538,0.15,0.46,0.834,0.268
ICTEF,240.3,0.886,198.33,0.724,0.929,0.633,0.981,0.434,0.067,0.438,0.9
DINO,191.2,0.784,452.006,0.97,0.636,0.711,0.407,0.945,0.871,0.438,0.394
DVDCF,173.6,0.738,-71.833,0.346,0.77,0.873,0.827,0.078,0.655,0.044,0.93
ANGPY,38.5,0.371,60.783,0.531,0.791,0.263,0.117,0.488,0.902,0.438,0.865
PATH,161.2,0.705,-257.168,0.038,0.377,0.91,0.501,0.5,0.737,0.807,0.234
LW,370.0,0.987,223.086,0.758,0.997,0.967,0.947,0.573,0.126,0.438,0.903
CNA,67.9,0.445,382.97,0.934,0.804,0.57,0.542,0.116,0.026,0.438,0.271
MTRAF,246.4,0.895,360.876,0.917,0.814,0.6,0.673,0.869,0.789,0.438,0.995
EVRG,80.3,0.477,106.494,0.599,0.608,0.38,0.885,0.223,0.188,0.438,0.243
SMFKY,210.7,0.831,240.784,0.782,0.817,0.786,0.771,0.551,0.472,0.438,0.638
GLPI,188.2,0.777,220.336,0.754,0.876,0.791,0.986,0.201,0.353,0.438,0.143
SJM,37.1,0.368,-89.334,0.321,0.246,0.26,0.389,0.623,0.499,0.438,0.38
CHK,155.9,0.689,463.577,0.975,0.543,0.368,0.32,0.881,0.999,0.438,0.998
LAMR,235.1,0.878,102.756,0.594,0.99,0.519,0.967,0.341,0.059,0.438,0.344
BCH,312.8,0.962,309.495,0.866,0.982,0.915,0.9,0.699,0.126,0.438,0.893
IPG,259.7,0.913,322.149,0.88,0.98,0.621,0.828,0.522,0.167,0.438,0.993
SRPT,78.9,0.473,-342.322,0.002,0.207,0.976,0.349,0.47,0.062,0.807,0.162
FTI,81.2,0.479,67.995,0.542,0.478,0.407,0.734,0.663,0.238,0.044,0.892
EMN,158.2,0.696,294.87,0.849,0.845,0.223,0.806,0.43,0.391,0.859,0.954
PAYC,416.0,0.996,-56.741,0.367,0.971,0.979,0.882,0.657,0.263,0.95,0.999
JBAXY,57.5,0.419,109.4,0.603,0.599,0.255,0.482,0.408,0.126,0.438,0.948
CASY,311.4,0.962,138.105,0.642,0.887,0.923,0.633,0.927,0.593,0.438,0.932
NTRA,114.4,0.569,-263.987,0.033,0.207,0.963,0.349,0.583,0.79,0.807,0.152
DVA,239.1,0.884,282.309,0.833,0.987,0.516,0.782,0.472,0.126,0.438,0.977
KNBWY,165.6,0.716,210.533,0.74,0.692,0.529,0.747,0.364,0.425,0.438,0.979
RNR,115.2,0.572,482.243,0.982,0.901,0.928,0.601,0.095,0.153,0.438,0.135
INFA,69.2,0.448,-235.228,0.063,0.199,0.834,0.434,0.231,0.565,0.834,0.176
CNM,116.2,0.575,114.158,0.61,0.931,0.552,0.686,0.724,0.193,0.438,0.071
WYNN,127.3,0.606,335.349,0.894,0.392,0.351,0.872,0.344,0.226,0.438,0.998
ZI,244.5,0.893,20.497,0.473,0.613,0.852,0.914,0.627,0.282,0.862,0.937
ALLY,2.5,0.285,299.766,0.854,0.574,0.439,0.326,0.176,0.026,0.438,0.274
ESAIY,105.2,0.543,536.572,0.993,0.615,0.494,0.625,0.089,0.732,0.83,0.402
LZRFY,14.7,0.313,309.786,0.867,0.252,0.758,0.397,0.576,0.277,0.438,0.071
KMX,68.9,0.447,92.676,0.578,0.197,0.329,0.407,0.848,0.171,0.438,0.982
AETUF,246.1,0.895,362.824,0.918,0.841,0.675,0.476,0.851,0.924,0.438,0.995
UHS,196.1,0.796,258.972,0.806,0.737,0.535,0.698,0.669,0.386,0.438,0.996
UTHR,354.4,0.982,233.302,0.771,0.874,0.963,0.993,0.485,0.777,0.85,0.236
YASKY,178.6,0.751,572.527,0.997,0.727,0.692,0.824,0.2,0.851,0.438,0.407
AEG,-116.4,0.099,-27.142,0.407,0.101,0.009,0.536,0.704,0.026,0.438,0.303
ALLE,321.7,0.967,143.267,0.649,0.975,0.909,0.894,0.699,0.208,0.438,0.938
FMS,43.3,0.383,276.228,0.826,0.506,0.421,0.602,0.193,0.493,0.044,0.269
SBS,206.4,0.821,229.82,0.767,0.732,0.737,0.886,0.547,0.735,0.438,0.287
TWLO,134.0,0.627,-167.001,0.183,0.255,0.716,0.423,0.439,0.453,0.831,0.99
FFIV,249.5,0.9,88.204,0.571,0.818,0.695,0.918,0.411,0.813,0.84,0.938
CMSQY,226.4,0.862,119.903,0.617,0.9,0.811,0.949,0.192,0.253,0.438,0.36
BKRIY,233.7,0.875,196.504,0.722,0.8,0.904,0.871,0.467,0.126,0.438,0.946
FIX,390.2,0.992,18.646,0.47,0.974,0.994,0.746,0.755,0.464,0.438,0.958
VIVHY,40.4,0.376,-158.361,0.201,0.125,0.328,0.185,0.542,0.896,0.438,0.991
ICAGY,199.9,0.806,308.705,0.865,0.908,0.758,0.638,0.612,0.126,0.438,0.879
HII,286.6,0.942,267.637,0.816,0.875,0.913,0.728,0.783,0.337,0.438,0.956
HALMY,142.1,0.651,-78.066,0.337,0.594,0.7,0.619,0.207,0.703,0.438,0.638
HLMAF,203.5,0.814,-101.824,0.301,0.822,0.882,0.619,0.207,0.703,0.438,0.638
SEOAY,-110.1,0.105,-223.425,0.076,0.201,0.104,0.076,0.312,0.632,0.438,0.638
REG,36.7,0.367,86.694,0.569,0.508,0.74,0.431,0.403,0.897,0.438,0.004
PCOR,116.7,0.576,-242.232,0.057,0.242,0.923,0.349,0.505,0.744,0.807,0.196
RRX,84.2,0.487,-54.543,0.372,0.238,0.958,0.163,0.347,0.496,0.438,0.202
AYALY,36.0,0.365,376.589,0.929,0.483,0.503,0.692,0.078,0.201,0.044,0.869
WING,243.2,0.891,-87.738,0.323,0.176,0.96,0.838,0.847,0.126,0.438,0.996
PFGC,279.0,0.934,196.717,0.722,0.769,0.957,0.589,0.992,0.214,0.438,0.317
QRVO,-129.7,0.087,-146.62,0.224,0.167,0.059,0.085,0.185,0.692,0.845,0.638
CLH,229.3,0.867,81.833,0.561,0.838,0.897,0.647,0.607,0.308,0.438,0.889
MSLOY,334.5,0.974,629.431,0.999,0.934,0.958,0.881,0.608,0.83,0.438,0.353
SNN,117.6,0.579,-40.061,0.39,0.589,0.472,0.658,0.042,0.849,0.945,0.38
AFG,78.6,0.472,315.899,0.874,0.917,0.386,0.446,0.098,0.026,0.438,0.906
ITT,272.0,0.928,70.544,0.545,0.858,0.738,0.853,0.341,0.959,0.877,0.969
SSDOY,65.3,0.439,-31.323,0.402,0.487,0.374,0.494,0.127,0.746,0.438,0.404
DSEEY,86.3,0.493,-5.999,0.436,0.508,0.588,0.369,0.365,0.126,0.438,0.992
Z,-23.7,0.232,-251.674,0.046,0.243,0.126,0.151,0.342,0.976,0.807,0.899
ZG,-23.7,0.232,-251.64,0.046,0.243,0.126,0.151,0.342,0.976,0.807,0.899
CYBR,139.9,0.645,-340.49,0.002,0.423,0.92,0.456,0.534,0.292,0.807,0.219
KNSL,322.4,0.968,21.01,0.473,0.987,0.989,0.744,0.428,0.1,0.438,0.373
JMHLY,31.6,0.354,343.855,0.901,0.271,0.365,0.394,0.412,0.296,0.438,0.638
JARLF,22.3,0.33,343.855,0.901,0.263,0.312,0.395,0.412,0.296,0.438,0.638
TECH,253.7,0.906,-137.636,0.24,0.815,0.797,0.91,0.097,0.884,0.984,0.915
ONON,204.4,0.816,-64.649,0.356,0.641,0.937,0.743,0.307,0.751,0.438,0.252
AHKSF,23.7,0.333,381.216,0.933,0.156,0.603,0.177,0.327,0.489,0.438,0.874
CPT,87.8,0.497,81.517,0.561,0.454,0.689,0.483,0.318,0.79,0.438,0.191
COVTY,69.2,0.448,-95.614,0.311,0.278,0.197,0.528,0.593,0.476,0.859,0.914
BJ,283.6,0.939,155.515,0.665,0.925,0.9,0.612,0.97,0.164,0.438,0.884
STBFY,145.7,0.661,150.676,0.659,0.287,0.636,0.633,0.914,0.269,0.438,0.638
TTEK,292.4,0.947,-27.602,0.406,0.915,0.94,0.627,0.781,0.311,0.438,0.917
AFRM,-110.8,0.104,-286.759,0.017,0.013,0.706,0.084,0.175,0.243,0.438,0.212
REXR,244.9,0.894,-107.174,0.293,0.536,0.996,0.978,0.871,0.835,0.438,0.001
WPP,-22.6,0.235,165.292,0.679,0.344,0.225,0.297,0.596,0.026,0.438,0.338
MOS,39.8,0.374,398.318,0.944,0.434,0.345,0.121,0.443,0.848,0.438,0.982
CLF,158.8,0.698,226.436,0.762,0.544,0.712,0.313,0.776,0.607,0.438,0.971
CTLT,-113.2,0.101,-284.851,0.017,0.175,0.333,0.074,0.113,0.389,0.438,0.251
LSCC,396.1,0.994,-129.3,0.258,0.988,0.959,0.975,0.333,0.918,0.832,0.365
EWBC,208.2,0.825,305.565,0.861,0.867,0.851,0.735,0.251,0.126,0.438,0.963
RL,156.7,0.691,170.08,0.686,0.905,0.313,0.598,0.662,0.333,0.438,0.894
YPF,289.0,0.944,570.278,0.997,0.858,0.955,0.877,0.672,0.463,0.438,0.287
SCI,183.8,0.765,169.733,0.685,0.982,0.25,0.851,0.437,0.026,0.438,0.969
SSMXY,232.9,0.874,535.849,0.993,0.727,0.805,0.8,0.224,0.91,0.977,0.409
AU,127.0,0.606,-39.788,0.39,0.577,0.728,0.431,0.477,0.821,0.438,0.253
DOX,261.1,0.915,215.951,0.748,0.818,0.472,0.794,0.803,0.603,0.979,0.993
BBWI,113.1,0.565,359.747,0.916,0.094,0.413,0.823,0.884,0.126,0.438,0.995
TFX,195.7,0.795,94.433,0.581,0.614,0.703,0.819,0.074,0.922,0.94,0.928
CART,-5.0,0.268,-87.564,0.323,0.392,0.57,0.04,0.869,0.385,0.807,0.898
PAG,248.7,0.899,401.602,0.946,0.911,0.8,0.529,0.798,0.162,0.438,0.997
THC,310.2,0.961,315.573,0.873,0.991,0.9,0.666,0.603,0.126,0.438,0.986
AHKSY,-8.3,0.262,-5.194,0.438,0.125,0.42,0.177,0.327,0.489,0.438,0.874
VDMCY,127.0,0.605,534.577,0.992,0.904,0.658,0.682,0.621,0.322,0.438,0.071
UWMC,-266.1,0.013,-243.283,0.053,0.156,0.001,0.3,0.063,0.126,0.438,0.179
WEX,202.9,0.812,50.769,0.516,0.817,0.696,0.857,0.669,0.026,0.438,0.971
KEP,-234.7,0.023,-139.65,0.236,0.063,0.248,0.034,0.205,0.08,0.044,0.282
TREX,327.3,0.971,-142.644,0.23,0.984,0.79,0.937,0.711,0.805,0.438,0.878
XNGSY,148.5,0.669,553.921,0.996,0.474,0.621,0.545,0.821,0.413,0.438,0.388
CUBE,225.1,0.86,100.125,0.59,0.801,0.673,0.993,0.42,0.658,0.438,0.194
CZMWY,195.4,0.794,34.597,0.493,0.699,0.713,0.822,0.208,0.869,0.863,0.638
TXRH,306.3,0.958,-36.447,0.395,0.974,0.894,0.685,0.886,0.318,0.438,0.878
ISUZY,210.8,0.831,404.846,0.947,0.734,0.91,0.673,0.511,0.355,0.438,0.638
EMRAF,97.2,0.52,228.697,0.765,0.625,0.622,0.894,0.24,0.25,0.438,0.169
SOUHY,-111.3,0.103,-218.704,0.084,0.106,0.095,0.077,0.232,0.789,0.438,0.956
WJRYY,130.1,0.615,516.435,0.989,0.657,0.662,0.788,0.195,0.207,0.438,0.872
MNDY,215.9,0.842,-232.486,0.066,0.338,0.917,0.554,0.943,0.777,0.833,0.229
ESTC,9.8,0.302,-315.214,0.006,0.025,0.83,0.294,0.823,0.082,0.807,0.211
IKTSY,240.5,0.887,54.221,0.521,0.93,0.632,0.801,0.775,0.391,0.438,0.638
FELTY,148.3,0.669,574.293,0.997,0.566,0.55,0.706,0.581,0.602,0.438,0.852
U,48.2,0.395,-262.778,0.034,0.169,0.826,0.349,0.192,0.396,0.807,0.222
BPYPP,54.1,0.41,,,0.287,0.798,0.376,0.366,0.269,0.438,0.208
JBSAY,158.1,0.696,151.157,0.66,0.678,0.48,0.461,0.941,0.073,0.438,0.995
FBIN,123.1,0.595,167.147,0.682,0.876,0.416,0.459,0.453,0.248,0.438,0.895
ASR,384.6,0.991,148.834,0.657,0.962,0.913,0.995,0.655,0.912,0.438,0.414
FQVLF,-113.4,0.101,-153.529,0.211,0.16,0.195,0.135,0.104,0.61,0.438,0.203
SNX,204.9,0.817,338.852,0.897,0.605,0.786,0.583,0.978,0.097,0.438,0.931
UNM,86.9,0.494,426.256,0.959,0.787,0.408,0.458,0.118,0.026,0.438,0.999
APG,165.1,0.715,-101.798,0.301,0.67,0.745,0.681,0.867,0.094,0.438,0.294
SMMYY,95.7,0.517,629.967,0.999,0.308,0.89,0.187,0.123,0.883,0.438,0.853
LEGN,88.9,0.5,-281.589,0.021,0.171,0.979,0.349,0.299,0.966,0.807,0.071
DELHY,-107.6,0.107,-220.52,0.08,0.063,0.304,0.109,0.612,0.382,0.438,0.171
RGEN,-38.9,0.204,-108.021,0.292,0.331,0.41,0.095,0.027,0.65,0.966,0.337
OTEX,42.2,0.38,98.838,0.588,0.42,0.793,0.313,0.692,0.159,0.864,0.142
CW,252.1,0.904,107.624,0.6,0.84,0.804,0.855,0.22,0.74,0.873,0.944
WTRG,138.6,0.641,21.47,0.474,0.637,0.492,0.977,0.595,0.249,0.438,0.177
PCTY,347.2,0.98,-108.853,0.291,0.893,0.999,0.882,0.648,0.152,0.891,0.268
BXP,-23.4,0.233,44.075,0.506,0.238,0.413,0.313,0.78,0.082,0.438,0.162
TLSNY,-109.5,0.105,494.525,0.985,0.095,0.177,0.116,0.444,0.284,0.044,0.955
TPR,254.6,0.907,376.675,0.929,0.993,0.429,0.87,0.614,0.189,0.438,0.929
DAY,154.0,0.684,-104.302,0.297,0.5,0.905,0.814,0.38,0.09,0.438,0.256
BSAC,9.1,0.3,210.76,0.741,0.733,0.299,0.498,0.103,0.126,0.438,0.234
GWRE,70.2,0.451,-313.642,0.007,0.306,0.183,0.484,0.514,0.729,0.807,0.969
VFS,-53.3,0.179,-259.047,0.037,0.749,0.456,0.015,0.687,0.126,0.807,0.638
COTY,167.0,0.72,159.759,0.671,0.808,0.712,0.874,0.501,0.246,0.438,0.223
ALV,254.8,0.907,198.281,0.724,0.894,0.644,0.607,0.92,0.196,0.908,0.947
CHE,325.6,0.97,-26.473,0.408,0.961,0.823,0.793,0.924,0.952,0.438,0.904
RIVN,-21.6,0.236,-129.05,0.259,0.038,0.277,0.349,0.301,0.805,0.807,0.299
CCK,187.9,0.776,223.337,0.758,0.823,0.72,0.613,0.825,0.126,0.438,0.901
CFLT,29.1,0.348,-354.88,0.001,0.108,0.892,0.349,0.597,0.207,0.807,0.15
NLY,-24.4,0.231,43.687,0.506,0.192,0.258,0.922,0.613,0.026,0.438,0.01
CSPCY,304.9,0.957,431.116,0.961,0.921,0.868,0.804,0.666,0.629,0.917,0.88
SKFRY,159.0,0.699,171.946,0.688,0.457,0.871,0.402,0.336,0.675,0.882,0.638
X,174.5,0.74,256.846,0.802,0.689,0.679,0.165,0.907,0.859,0.438,0.991
ELF,338.3,0.976,-182.924,0.15,0.861,0.993,0.897,0.741,0.997,0.438,0.22
VIPS,267.5,0.923,265.27,0.813,0.919,0.337,0.748,1.0,0.829,0.438,0.638
MHGVY,180.2,0.756,251.11,0.795,0.864,0.636,0.952,0.046,0.47,0.438,0.638
DNOPY,396.1,0.994,451.493,0.97,0.971,1.0,0.646,0.748,0.822,0.438,0.638
WHGLY,152.6,0.68,372.618,0.926,0.721,0.473,0.68,0.703,0.442,0.438,0.638
STN,227.8,0.865,27.323,0.482,0.768,0.878,0.717,0.819,0.599,0.438,0.263
ATR,196.4,0.797,40.01,0.501,0.776,0.693,0.809,0.487,0.818,0.438,0.324
HSIC,171.0,0.73,176.654,0.695,0.726,0.494,0.526,0.826,0.28,0.438,0.988
NIO,-53.9,0.178,-198.89,0.122,0.013,0.575,0.075,0.93,0.204,0.832,0.256
QGEN,133.0,0.623,102.834,0.594,0.636,0.451,0.611,0.068,0.923,0.998,0.359
TTC,218.4,0.847,4.207,0.451,0.879,0.684,0.655,0.719,0.497,0.438,0.886
CCDBF,204.1,0.816,239.633,0.78,0.733,0.701,0.72,0.703,0.82,0.438,0.878
AIZ,121.8,0.591,301.84,0.857,0.862,0.532,0.486,0.114,0.026,0.438,0.997
MTCH,45.1,0.387,330.607,0.889,0.013,0.099,0.948,0.518,0.226,0.963,0.956
ONTO,34.0,0.36,-79.896,0.334,0.446,0.393,0.311,0.063,0.629,0.919,0.3
GTLB,-71.6,0.152,-287.725,0.015,0.013,0.572,0.091,0.672,0.583,0.807,0.193
DUOL,186.4,0.772,-115.417,0.281,0.595,0.918,0.589,0.74,0.704,0.807,0.177
MTNOY,233.1,0.875,631.79,0.999,0.885,0.775,0.904,0.583,0.255,0.438,0.638
AR,-59.4,0.17,142.76,0.648,0.218,0.311,0.082,0.498,0.799,0.438,0.24
GS-PC,17.1,0.318,350.002,0.907,0.559,0.397,0.408,0.062,0.026,0.438,0.953
RDEIY,178.1,0.75,81.751,0.561,0.599,0.716,0.904,0.574,0.246,0.438,0.392
ROIV,-174.1,0.053,79.638,0.558,0.063,0.213,0.091,0.297,0.635,0.807,0.137
WWD,233.9,0.876,44.707,0.508,0.752,0.775,0.786,0.468,0.521,0.923,0.925
AGCO,329.7,0.972,422.949,0.957,0.976,0.905,0.816,0.608,0.495,0.9,0.861
DLAKY,177.4,0.748,384.796,0.935,0.78,0.758,0.738,0.697,0.126,0.438,0.638
AAL,52.5,0.406,461.417,0.974,0.094,0.397,0.733,0.728,0.226,0.438,0.319
STRNY,59.7,0.424,-133.915,0.252,0.839,0.195,0.766,0.245,0.026,0.438,0.324
CHDN,314.0,0.963,24.338,0.478,0.945,0.998,0.656,0.394,0.126,0.438,0.928
SEIC,296.9,0.951,106.031,0.598,0.927,0.522,0.878,0.825,0.744,0.438,0.998
JEF,55.1,0.413,36.092,0.495,0.432,0.37,0.732,0.557,0.058,0.85,0.206
DCI,326.5,0.97,132.276,0.634,0.975,0.77,0.828,0.701,0.685,0.846,0.977
CIB,114.6,0.57,355.328,0.912,0.803,0.829,0.399,0.385,0.026,0.438,0.316
LUNMF,41.3,0.378,-7.786,0.434,0.482,0.767,0.409,0.119,0.536,0.044,0.219
ESLT,158.1,0.696,-88.02,0.322,0.568,0.712,0.546,0.392,0.255,0.972,0.411
BDNNY,198.7,0.803,383.139,0.934,0.843,0.775,0.895,0.374,0.729,0.044,0.638
AGNCM,-145.6,0.074,-96.833,0.309,0.685,0.109,0.385,0.431,0.026,0.438,0.0
EXP,318.4,0.965,181.052,0.7,0.993,0.772,0.947,0.403,0.372,0.438,0.931
SKX,273.2,0.929,211.649,0.742,0.827,0.881,0.812,0.671,0.85,0.438,0.925
BIO,31.0,0.353,-200.253,0.12,0.458,0.184,0.315,0.036,0.685,0.993,0.959
RRC,232.7,0.874,269.046,0.817,0.876,0.843,0.554,0.514,0.756,0.438,0.906
GPK,313.6,0.963,304.361,0.86,0.977,0.932,0.824,0.5,0.186,0.438,0.959
AGNCN,-145.6,0.074,-96.28,0.31,0.685,0.109,0.385,0.431,0.026,0.438,0.0
WFRD,264.7,0.92,195.403,0.72,0.963,0.844,0.888,0.739,0.126,0.842,0.263
TPX,92.1,0.508,166.986,0.681,0.945,0.083,0.604,0.673,0.126,0.438,0.888
FIVE,313.4,0.963,-102.23,0.3,0.911,0.941,0.754,0.778,0.534,0.438,0.912
BZ,204.7,0.817,-20.008,0.417,0.612,0.72,0.583,0.836,0.832,0.807,0.898
MTHRY,262.9,0.918,537.351,0.993,0.807,0.933,0.567,0.782,0.875,0.438,0.415
MTDR,219.8,0.85,289.888,0.843,0.887,0.866,0.374,0.498,0.853,0.438,0.926
VNO-PL,51.5,0.404,74.901,0.552,0.627,0.265,0.842,0.339,0.249,0.438,0.185
CZR,180.1,0.755,353.395,0.91,0.765,0.837,0.874,0.41,0.126,0.438,0.322
UUGRY,22.7,0.331,-209.013,0.103,0.783,0.091,0.62,0.402,0.06,0.438,0.638
