,BQ_score,BQ_score_percentile,V_score,V_score_percentile,BQ_RoC_score_percentile,BQ_growth_score_percentile,BQ_profitability_score_percentile,BQ_asset_intensity_score_percentile,BQ_capital_structure_score_percentile,BQ_reinvestment_score_percentile,BQ_shareholder_score_percentile
DMB,7.9,0.297,59.089,0.528,0.114,0.043,0.922,0.394,0.802,0.438,0.399
NRGV,68.0,0.446,-93.181,0.315,0.207,0.277,0.438,0.812,0.986,0.98,0.171
BPRN,145.0,0.659,254.532,0.8,0.625,0.442,0.838,0.44,0.126,0.438,0.996
CBTN,50.3,0.4,193.039,0.717,0.691,0.182,0.784,0.233,0.026,0.438,0.924
CSTE,-253.3,0.017,54.777,0.522,0.03,0.016,0.069,0.24,0.624,0.044,0.28
AUGX,-8.8,0.261,-199.749,0.121,0.063,0.345,0.296,0.821,0.162,0.807,0.37
LCNB,19.9,0.325,193.163,0.717,0.56,0.177,0.73,0.212,0.026,0.438,0.881
CBAN,-7.9,0.262,239.641,0.78,0.465,0.528,0.504,0.448,0.026,0.438,0.137
INOD,170.3,0.729,-194.529,0.129,0.475,0.812,0.748,0.934,0.335,0.438,0.183
WIA,-135.7,0.082,-19.878,0.417,0.517,0.003,0.142,0.216,0.701,0.438,0.638
BFLY,-135.6,0.082,-175.408,0.167,0.04,0.124,0.349,0.01,0.583,0.807,0.211
LFCR,-156.8,0.065,-249.739,0.048,0.063,0.204,0.068,0.052,0.285,0.914,0.315
PEGR,29.7,0.349,-155.64,0.207,0.35,0.407,0.241,0.355,0.452,0.438,0.638
CLPR,-111.0,0.104,-103.745,0.298,0.013,0.081,0.694,0.428,0.026,0.438,0.208
AISP,136.5,0.634,-197.78,0.124,0.354,0.437,0.544,0.988,0.175,0.827,0.638
ALIM,16.8,0.317,-300.363,0.009,0.392,0.43,0.445,0.947,0.026,0.834,0.071
RGLS,-104.3,0.11,-206.779,0.108,0.273,0.145,0.241,0.271,0.702,0.438,0.071
BSL,125.1,0.6,208.351,0.737,0.84,0.292,0.487,0.447,0.947,0.438,0.638
CALB,136.7,0.635,240.177,0.781,0.693,0.803,0.736,0.312,0.126,0.438,0.3
SGTM,138.2,0.64,103.938,0.596,0.548,0.663,0.87,0.049,0.852,0.438,0.638
IGI,14.6,0.313,48.795,0.514,0.689,0.018,0.741,0.483,0.328,0.438,0.638
AMTX,23.4,0.332,-203.765,0.113,0.945,0.778,0.061,0.895,0.226,0.044,0.154
IVCA,-33.2,0.213,-104.013,0.297,0.348,0.543,0.241,0.355,0.401,0.438,0.071
KNDI,23.3,0.332,1.118,0.447,0.342,0.603,0.727,0.054,0.479,0.888,0.071
FVCB,50.2,0.4,55.362,0.523,0.613,0.4,0.828,0.143,0.026,0.438,0.247
XYF,107.5,0.55,345.224,0.903,0.67,0.566,0.805,0.019,0.868,0.438,0.638
PNRG,334.3,0.974,196.747,0.722,0.923,0.814,0.97,0.743,0.846,0.438,0.941
MFIN,192.8,0.788,473.07,0.978,0.871,0.887,0.734,0.341,0.026,0.438,0.872
EVTL,-18.5,0.242,-173.825,0.171,0.882,0.105,0.241,0.271,0.226,0.438,0.213
KNOP,-57.1,0.174,,,0.287,0.293,0.465,0.221,0.269,0.438,0.137
HITI,110.6,0.558,-112.239,0.286,0.207,0.786,0.54,0.861,0.636,0.438,0.168
GDO,11.7,0.306,137.014,0.641,0.762,0.016,0.596,0.346,0.78,0.438,0.638
HQI,165.7,0.717,242.056,0.784,0.758,0.871,0.867,0.016,0.665,0.438,0.382
EMF,61.2,0.428,209.785,0.739,0.789,0.017,0.82,0.677,0.371,0.438,0.923
VERI,49.3,0.398,-253.49,0.045,0.392,0.58,0.349,0.863,0.056,0.807,0.2
TRIS,30.0,0.351,-114.427,0.283,0.35,0.407,0.241,0.355,0.457,0.438,0.638
PTMN,8.0,0.298,228.78,0.765,0.771,0.019,0.385,0.487,0.291,0.438,0.99
VOXX,38.3,0.371,-30.063,0.403,0.264,0.08,0.301,0.518,0.792,0.954,0.983
PRPL,-245.9,0.019,-225.06,0.074,0.013,0.107,0.05,0.781,0.36,0.848,0.007
STRS,302.1,0.955,281.53,0.832,0.907,0.911,0.964,0.149,0.414,0.438,0.976
JYNT,6.5,0.294,-92.946,0.316,0.089,0.585,0.293,0.781,0.188,0.438,0.258
PCK,85.8,0.491,320.54,0.879,0.765,0.082,0.814,0.596,0.498,0.438,0.407
LDDD,83.9,0.486,-38.789,0.392,0.183,0.251,0.581,0.978,0.226,0.438,0.41
EOSE,-60.2,0.168,-261.99,0.035,0.945,0.201,0.091,0.672,0.126,0.807,0.071
MBCN,-2.8,0.273,213.545,0.744,0.421,0.684,0.431,0.25,0.126,0.438,0.138
ESCA,77.0,0.468,342.139,0.9,0.433,0.424,0.522,0.314,0.613,0.438,0.304
VRDR,24.8,0.336,-228.638,0.07,0.359,0.758,0.438,0.154,0.956,0.438,0.007
SHIP,-130.8,0.086,-122.094,0.27,0.191,0.085,0.115,0.762,0.712,0.438,0.139
FLL,-61.8,0.165,-189.019,0.138,0.029,0.669,0.291,0.341,0.026,0.044,0.322
III,19.7,0.324,160.669,0.673,0.378,0.46,0.298,0.812,0.334,0.438,0.158
MAMA,188.6,0.778,96.712,0.585,0.876,0.758,0.728,0.944,0.191,0.044,0.237
SCPH,-146.4,0.073,-217.701,0.086,0.013,0.043,0.131,0.88,0.507,0.807,0.182
